instruction,domain,intent,sub_intent,tool,response_mode,entity_product,entity_merchant,entity_brand,entity_category,entity_price_min,entity_price_max,entity_location,entity_radius,planner_action,workflow_type,planner_actions,planner_action_count,tool_sequence
Recommend a good frozen pizza.,RECOMMENDATION,RECOMMEND,PRODUCT,recommendation_engine,hybrid,Frozen Pizza,,,Frozen Food,,,,,RECOMMEND_PRODUCT,single,RECOMMEND_PRODUCT,1,recommendation_engine
Can you recommend a coffee for everyday use?,RECOMMENDATION,RECOMMEND,PRODUCT,recommendation_engine,hybrid,Coffee,,,Beverages,,,,,RECOMMEND_PRODUCT,single,RECOMMEND_PRODUCT,1,recommendation_engine
What breakfast cereal would you recommend?,RECOMMENDATION,RECOMMEND,PRODUCT,recommendation_engine,hybrid,Breakfast Cereal,,,Breakfast Food,,,,,RECOMMEND_PRODUCT,single,RECOMMEND_PRODUCT,1,recommendation_engine
Suggest a healthy snack for me.,RECOMMENDATION,RECOMMEND,PRODUCT,recommendation_engine,hybrid,,,,Healthy Snacks,,,,,RECOMMEND_PRODUCT,
Which laundry detergent should I buy?,RECOMMENDATION,RECOMMEND,PRODUCT,recommendation_engine,hybrid,Laundry Detergent,,,Household Products,,,,,RECOMMEND_PRODUCT,
Help me choose a good orange juice.,RECOMMENDATION,RECOMMEND,PRODUCT,recommendation_engine,hybrid,Orange Juice,,,Beverages,,,,,RECOMMEND_PRODUCT,
Recommend a yoghurt for breakfast.,RECOMMENDATION,RECOMMEND,PRODUCT,recommendation_engine,hybrid,Yoghurt,,,Dairy,,,,,RECOMMEND_PRODUCT,
What type of bread would you suggest?,RECOMMENDATION,RECOMMEND,PRODUCT,recommendation_engine,hybrid,Bread,,,Bakery,,,,,RECOMMEND_PRODUCT,
Can you recommend a reliable shampoo?,RECOMMENDATION,RECOMMEND,PRODUCT,recommendation_engine,hybrid,Shampoo,,,Personal Care,,,,,RECOMMEND_PRODUCT,
Suggest a good frozen meal.,RECOMMENDATION,RECOMMEND,PRODUCT,recommendation_engine,hybrid,Frozen Meal,,,Frozen Food,,,,,RECOMMEND_PRODUCT,
Which pasta would you recommend?,RECOMMENDATION,RECOMMEND,PRODUCT,recommendation_engine,hybrid,Pasta,,,Pasta,,,,,RECOMMEND_PRODUCT,
Recommend an affordable chocolate bar.,RECOMMENDATION,RECOMMEND,PRODUCT,recommendation_engine,hybrid,Chocolate Bar,,,Sweets,,2.0,,,RECOMMEND_PRODUCT,
What ice cream should I try?,RECOMMENDATION,RECOMMEND,PRODUCT,recommendation_engine,hybrid,Ice Cream,,,Frozen Desserts,,,,,RECOMMEND_PRODUCT,
Recommend a soft drink for a party.,RECOMMENDATION,RECOMMEND,PRODUCT,recommendation_engine,hybrid,Soft Drink,,,Beverages,,,,,RECOMMEND_PRODUCT,
Can you suggest a good rice product?,RECOMMENDATION,RECOMMEND,PRODUCT,recommendation_engine,hybrid,Rice,,,Rice,,,,,RECOMMEND_PRODUCT,
Recommend a breakfast product under €5.,RECOMMENDATION,RECOMMEND,PRODUCT,recommendation_engine,hybrid,,,,Breakfast Food,,5.0,,,RECOMMEND_PRODUCT,
Which coffee would you recommend for less than €10?,RECOMMENDATION,RECOMMEND,PRODUCT,recommendation_engine,hybrid,Coffee,,,Beverages,,10.0,,,RECOMMEND_PRODUCT,
Suggest a snack between €2 and €4.,RECOMMENDATION,RECOMMEND,PRODUCT,recommendation_engine,hybrid,,,,Snacks,2.0,4.0,,,RECOMMEND_PRODUCT,
